,Predicted R_t
382,-0.009916496
383,-0.02868395
384,-0.02887939
385,-0.0031053028
386,-0.015554984
387,-0.02035392
388,-0.04035748
389,-0.02529136
390,-0.050670978
391,-0.06739568
392,-0.087204106
393,-0.09717284
394,-0.08777219
395,-0.090890415
396,-0.07992636
397,-0.0801572
398,-0.06528411
399,-0.05288858
400,-0.03977495
401,-0.048616096
402,-0.04671607
403,-0.025400478
404,-0.036031984
405,-0.0039712996
406,0.024959847
407,0.047961522
408,0.045479067
409,0.06927015
410,0.059511043
411,0.044506676
412,0.028671708
413,0.06676252
414,0.099835806
415,0.07637353
416,0.07933805
417,0.08176577
418,0.10073529
419,0.09443304
420,0.07105758
421,0.06400963
422,0.044697244
423,0.030294187
424,0.018381158
425,0.016083516
426,0.012118167
427,-0.006788271
428,-0.009416014
429,-0.024464156
430,-0.017876612
431,-0.02608909
432,0.00014746189
433,-0.003753373
434,-0.015349993
435,-0.009596382
436,-0.032634936
437,-0.009562121
438,0.0008626599
439,-0.0040430003
440,-0.016464217
441,-0.013947754
442,-0.014245505
443,-0.03497992
444,-0.024384521
445,-0.023494689
446,-0.024908641
447,-0.013156037
448,-0.011070195
449,0.0049885856
450,-0.005695963
451,0.008952486
452,0.0012646401
453,0.036550984
454,0.06269037
455,0.0501128
456,0.05558104
457,0.05298635
458,0.04579016
459,0.05223147
460,0.05806345
461,0.04353197
462,0.061448425
463,0.07715304
464,0.0801951
465,0.09673878
466,0.10973084
467,0.1298596
468,0.13330197
469,0.12824239
470,0.1431169
471,0.12639825
472,0.119887054
473,0.1186824
474,0.11570132
475,0.09915647
476,0.12957251
477,0.09410683
478,0.10989499
479,0.12665516
480,0.076374955
481,0.10853164
482,0.098198354
483,0.08966424
484,0.09027112
485,0.058881607
486,0.07534862
487,0.08060926
488,0.09456583
489,0.09476366
490,0.0806078
491,0.08508791
492,0.119624816
493,0.12658098
494,0.120598756
495,0.10807764
496,0.103517726
497,0.11894392
498,0.13858578
499,0.13012177
500,0.13139954
501,0.06793974
502,0.03206257
503,0.030267669
504,0.027528577
505,0.04812792
506,0.0626566
507,0.050282277
508,0.059391867
509,0.07885469
510,0.066163875
511,0.044571046
512,0.020521589
513,0.011882331
514,0.008030769
515,-0.009628792
516,-0.010791049
517,0.002533597
518,0.0010542492
519,-0.015866712
520,-0.018251404
521,-0.013813485
522,0.027839417
523,0.08799597
524,0.12344483
525,0.09073891
526,0.097326286
527,0.0858534
528,0.084326446
529,0.08708829
530,0.08335098
531,0.03827351
532,0.07474407
533,0.07619564
534,0.051498055
535,0.07664807
536,0.07584226
537,0.07937151
538,0.101630494
539,0.09537563
540,0.09257649
541,0.10964526
542,0.10512338
543,0.10876998
544,0.09610296
545,0.073710985
546,0.05247549
547,0.070708804
548,0.037232943
549,0.03315742
550,0.0267112
551,0.0074966154
552,0.008318576
553,0.009884412
554,0.031030532
555,0.0024803013
556,0.014156543
557,0.014091426
558,0.021290602
559,0.043462288
560,0.02275385
561,0.01602929
562,0.001953612
563,-0.009900018
564,-0.04878428
565,-0.06682208
566,-0.08118536
567,-0.07670903
568,-0.0523077
569,-0.047006212
570,-0.07328435
571,-0.025334802
572,-0.03316707
573,-0.05461469
574,-0.06137953
575,-0.06688616
576,-0.054274008
577,-0.051926605
578,-0.03983331
579,-0.04694645
580,-0.043770526
581,-0.0418468
582,-0.03412465
583,-0.035403892
584,-0.02247683
585,-0.016809968
586,0.0069267736
587,0.020928117
588,0.043697316
589,0.035986308
590,0.009394836
591,-0.026459403
592,-0.034015737
593,-0.013709324
594,0.02617633
595,0.042219058
596,0.048981484
597,0.040015563
598,0.029104326
599,-0.0076327757
600,-0.022728708
601,-0.026590463
602,-0.04076601
603,-0.032695718
604,-0.03858813
605,-0.03337725
606,-0.033151094
607,-0.021173079
608,-0.018543655
609,0.0052823955
610,-0.0066203666
611,-0.0123492
612,0.0074486476
613,0.03469869
614,0.034386918
615,0.034880318
616,0.015962861
617,0.013725157
618,-0.003567441
619,0.0040850397
620,0.014507849
621,0.043319426
622,0.06571908
623,0.050320297
624,0.06787829
625,0.03484083
626,0.03372348
627,0.0206114
628,0.004429092
629,-0.015409279
630,-0.037933454
631,-0.029668834
632,-0.020647442
633,0.0006443169
634,-0.003225722
635,-0.026512314
636,-0.0048015644
637,-0.0039822687
638,-0.0038006245
639,0.0027157536
640,0.009532742
641,0.011937686
642,0.009882007
643,0.0023498954
644,-8.887891e-05
645,0.014486932
646,0.021506477
647,0.012893549
648,-0.012438144
649,-0.010945364
650,-0.0026946352
651,0.009716325
652,0.004672343
653,-0.018935679
654,-0.00878225
655,-0.0069041965
656,-0.012270016
657,-0.0025446326
658,0.00026236288
659,-0.011248556
660,-0.01324671
661,-0.023960387
662,-0.018747494
663,-0.027707346
664,-0.022092957
665,-0.017916251
666,-0.0006123306
667,-9.395648e-05
668,-0.02225788
669,-0.013935561
670,0.016692773
671,0.03197226
672,0.030730838
673,0.030514775
674,0.041136734
675,0.052822933
676,0.04749332
677,0.048153024
678,0.03914697
679,0.015432824
680,0.00080183614
681,0.014278364
682,-0.01913611
683,-0.017143188
684,-0.0077002547
685,0.019153314
686,-0.020842273
687,-0.03197897
688,-0.037170045
689,-0.031878922
690,-0.020819219
691,-0.018887961
692,-0.019429496
693,-0.03595074
694,-0.053395342
695,-0.0636072
696,-0.06830954
697,-0.08227544
698,-0.08185276
699,-0.075747244
700,-0.080035195
701,-0.0703453
702,-0.07943168
703,-0.08942749
704,-0.076328024
705,-0.079279795
706,-0.07079051
707,-0.07315733
708,-0.06458571
709,-0.03094367
710,-0.03178165
711,-0.02318106
712,-0.008182085
713,-0.022614678
714,-0.0041740793
715,0.0090103
716,0.009406171
717,0.014093214
718,0.008758026
719,0.03360543
720,0.03563618
721,0.048730332
722,0.050346144
723,0.040165987
724,0.04986699
725,0.03604114
726,0.033214346
727,0.040367868
728,0.03976684
729,0.044160668
730,0.029380927
731,0.016734626
732,-0.0264792
733,-0.03788396
734,-0.026420664
735,-0.015471769
736,-0.024768198
737,-0.020286227
738,-0.044201713
739,-0.05762834
740,-0.050199155
741,-0.04058588
742,-0.03278543
743,-0.020310948
744,-0.014192703
745,-0.0033032638
746,-0.00061305007
747,0.00076429546
748,-0.024619779
749,-0.04763001
750,-0.065479405
751,-0.05848653
752,-0.049379215
753,-0.05556393
754,-0.033256512
755,-0.029068306
756,-0.042673092
757,-0.034192875
758,-0.019702896
759,-0.023408176
760,-0.011508626
761,-0.013605536
762,-0.025375929
763,-0.037812103
764,-0.03709018
765,-0.033060297
766,-0.0371286
767,-0.06603544
768,-0.049467467
769,-0.029087074
770,-0.008639775
771,0.0050190985
772,0.0051189438
773,-0.010944107
774,0.020603165
775,0.023428451
776,0.017489133
777,0.0297566
778,0.029613031
779,-0.0023996248
780,0.006926634
781,0.0069895177
782,0.020524006
783,0.019745553
784,0.017964387
785,0.007979212
786,0.00074694585
787,0.0023466414
788,-0.0029809964
789,0.0047994875
790,-0.0031555067
791,-0.019504936
792,-0.027666308
793,-0.030818984
794,-0.027439836
795,-0.03583076
796,-0.048235577
797,-0.073494166
798,-0.088056445
799,-0.09186011
800,-0.09328136
801,-0.0817543
802,-0.078846805
803,-0.069963485
804,-0.07513485
805,-0.07691663
806,-0.06345962
807,-0.06158586
808,-0.078025006
809,-0.06886306
810,-0.06740812
811,-0.058128834
812,-0.07309457
813,-0.085876346
814,-0.06992746
815,-0.09320305
816,-0.096584074
817,-0.113304935
818,-0.09910907
819,-0.088834904
820,-0.07782594
821,-0.06260289
822,-0.04340244
823,-0.025680058
824,-0.030081663
825,-0.04505676
826,-0.0768891
827,-0.077428274
828,-0.06209006
829,-0.0621989
830,-0.045911025
831,0.03357719
832,0.053187903
833,0.03346805
834,0.02969013
835,0.08621609
836,0.09502797
837,0.07797968
838,0.046339028
839,0.102931455
840,0.10358236
841,0.050248127
842,0.0308582
843,0.07714295
844,0.069530986
845,0.07828526
846,0.075484574
847,0.088741764
848,0.09760631
849,0.070497595
850,0.07124019
851,0.0635412
852,0.058611095
853,0.05952091
854,0.028771358
855,0.018725218
856,0.022304935
857,0.018424211
858,0.027445558
859,0.027447568
860,0.04199117
861,0.03717463
862,0.0489575
863,0.053264946
864,0.018812086
865,0.029245764
866,-0.015702244
867,-0.018404618
868,-0.0013275594
869,0.0012010005
870,-0.00023304997
871,0.011160817
872,0.026250256
873,0.016148608
874,-0.0005788454
875,0.00017015683
876,-0.010651448
877,-0.018711211
878,-0.035047427
879,-0.058300167
880,-0.060830742
881,-0.056632243
882,-0.060779043
883,-0.07137469
884,-0.08816186
885,-0.07171055
886,-0.08614743
887,-0.07187616
888,-0.05129241
889,-0.04632111
890,-0.056816906
891,-0.062053733
892,-0.05172509
893,-0.06994858
894,-0.08153774
895,-0.072794594
896,-0.07737841
897,-0.079184294
898,-0.070230186
899,-0.06784778
900,-0.05618781
901,-0.036392607
902,-0.035522
903,-0.040760234
904,-0.04254082
905,-0.047046006
906,-0.051423527
907,-0.04150832
908,-0.0571158
909,-0.046109516
910,-0.05372405
911,-0.052453108
912,-0.039198417
913,-0.05045571
914,-0.0268825
915,0.014612026
916,-0.018075816
917,-0.02588939
918,-0.020784225
919,-0.0372315
920,-0.030177314
921,-0.036490407
922,-0.037369825
923,-0.03401107
924,-0.039218362
925,-0.020870129
926,-0.029972404
927,-0.029424656
928,0.009756283
929,-0.005904824
930,-0.02192924
931,-0.039199423
932,-0.053832203
933,-0.07938419
934,-0.057559
935,-0.056850836
936,-0.05548556
937,-0.09497666
938,-0.1191121
939,-0.10782563
940,-0.10480259
941,-0.14094311
942,-0.1692387
943,-0.19961083
944,-0.20538267
945,-0.19563368
946,-0.17991585
947,-0.20700786
948,-0.2515132
949,-0.27815866
950,-0.2765031
951,-0.21802431
952,-0.17230654
953,-0.17021292
954,-0.14952391
955,-0.1234627
956,-0.1425213
957,-0.13340987
958,-0.11162638
959,-0.06088037
960,-0.037883356
961,-0.021453993
962,0.074330315
963,0.055933762
964,0.034155644
965,0.11347537
966,0.074035235
967,0.07450794
968,0.09430409
969,0.15911692
970,0.20798787
971,0.17047355
972,0.1116438
973,0.1473242
974,0.118237756
975,0.102527365
976,0.08718281
977,0.071727335
978,0.06693472
979,0.04862341
980,0.04150699
981,0.07068294
982,0.10476461
983,0.062413152
984,0.042150088
985,0.05711133
986,0.06907895
987,0.08378984
988,0.07354452
989,0.056396693
990,0.07295141
991,0.071774974
992,0.054748274
993,0.03376651
994,0.06735799
995,0.06666457
996,0.061855927
997,0.06424138
998,0.06246445
999,0.035518065
1000,0.043190252
1001,0.046253193
1002,0.05963021
1003,0.058212105
