,Predicted R_t
0,0.07850123
1,0.09508591647619047
2,0.10480421295454545
3,0.003322050326363636
4,0.03955330536190477
5,0.04280928288695652
6,-0.048082549190476186
7,-0.12343354077272727
8,-0.08304755623043478
9,0.11031833652
10,0.04133946717391304
11,0.06836628540909091
12,-0.014341644385
13,0.01323810064090909
14,0.020188812904545453
15,0.018877090333809524
16,0.004294406004545454
17,0.031334050965217394
18,-0.04935577302857143
19,0.05159460768181818
20,-0.014532654450454546
21,0.0739971911952381
22,0.10058114269565217
23,0.06329995733333334
24,0.05266815858095238
25,0.053687123552173914
26,-0.042542639476190476
27,-0.0008697476863636365
28,0.008734047054545453
29,-4.3630790952380666e-05
30,-0.008015118630434782
31,0.008532973747272727
32,-0.060416339857142856
33,0.019997781213636365
34,-0.032431215109545455
35,-0.01719621735
36,-0.0076945639725
37,-0.08048021017391305
38,0.006532934299999999
39,0.052861576304347825
40,-0.021157136792727273
41,-0.059763210809523806
42,-0.030804305826086956
43,-0.13785071866666665
44,-0.007788234227272728
45,0.07293617577272728
46,0.021124669938095236
47,0.01571542657826087
48,-0.02566179899
49,0.039464217045454546
50,0.009643174470261905
51,-0.03520752102173913
52,-0.07512335676190476
53,-0.0981067215909091
54,-0.05809459991304348
55,-0.041070661656
56,-0.0736181407826087
57,0.07372350568181818
58,0.0014963452619047618
59,-0.033319018556521744
60,-0.09271996375
61,-0.04626610504761904
62,0.07080168477272727
63,0.03710325270391304
64,0.049522045279999996
65,0.024298617969565218
66,0.02517854745636364
67,0.03365020230190476
68,-0.01795823771347826
69,0.03361074597619048
70,0.02173087724090909
71,0.03625022278260869
72,0.020730465065000002
73,-0.008189795740454546
74,0.0067961943818181806
75,-0.021804871304761903
76,0.012080508313636364
77,-5.239368695652238e-06
78,-0.02569720335809524
79,0.03826026068318182
80,0.01068449215390909
81,0.029267902523809525
82,0.019346649092608696
83,0.01777270373142857
84,0.027232473568421057
85,0.016866330110826087
86,-0.002611960604545455
87,-0.007571440495238095
88,0.04733424731818182
89,0.029558607090909093
90,0.02356408235
91,0.0034013148363636362
92,0.015532536714285713
93,0.0015911820227272723
94,0.04058848195652174
95,0.02680527236333333
96,0.02441457637
97,0.03323750856521739
98,0.013580731533333334
99,-0.0028645298490909093
100,-0.05036619581818182
101,0.01612011267142857
102,0.03038375235652174
103,0.02229919379090909
104,0.03499904038095238
105,0.024821918363636362
106,0.008995875942857143
107,0.026327172645454547
108,0.02371851253
109,-0.028624161504347826
110,0.047692498535
111,0.035959632909090905
112,0.016713838746818182
113,0.0026617457571428576
114,-0.055607738999999996
115,0.007201729749047618
116,0.036146219363636364
117,-0.020043328270454543
118,7.008301428571436e-05
119,-0.046919129073913046
120,-0.07689710023809523
121,-0.034317194366666665
122,0.03900038389545454
123,0.03690141061304348
124,-0.04581737961
125,-0.0964426822173913
126,0.010995107027272728
127,-0.02587422019047619
128,-0.17804658452173913
129,-0.09767708071428573
130,-0.026089774177272727
131,-0.007547105869565218
132,-0.05500124305
133,-0.10514234806666665
134,0.13569717277272728
135,0.10728180318181818
136,0.03264837066190476
137,-0.01632411322173913
138,0.10580353385
139,0.05766046145454546
140,0.023315246
141,-0.018137872105
142,0.011385140108695653
143,0.028464203
144,-0.0710540908
145,0.04252692736818182
146,0.03567902036818182
147,-0.0752789808095238
148,-0.010098421754545455
149,-0.0027886089
150,0.03358064565904762
151,0.005174112136363636
152,0.032351426120454545
153,0.023073321404761905
154,0.0036237646954545453
155,0.019223970161904764
156,0.04712357905
